PCs Components Accuracy
2 2 143 
2 4 164 
2 6 187 
2 8 204 
2 10 212 
4 2 205 
4 4 306 
4 6 366 
4 8 385 
4 10 421 
6 2 220 
6 4 315 
6 6 400 
6 8 452 
6 10 479 
8 2 266 
8 4 420 
8 6 539 
8 8 604 
8 10 660 
10 2 325 
10 4 545 
10 6 619 
10 8 709 
10 10 746 
12 2 417 
12 4 622 
12 6 707 
12 8 774 
12 10 815 
14 2 455 
14 4 661 
14 6 769 
14 8 822 
14 10 878 
16 2 554 
16 4 722 
16 6 824 
16 8 875 
16 10 916 
18 2 594 
18 4 759 
18 6 864 
18 8 908 
18 10 941 
20 2 663 
20 4 822 
20 6 871 
20 8 913 
20 10 954 
22 2 708 
22 4 833 
22 6 901 
22 8 936 
22 10 974
24 2 759 
24 4 865 
24 6 922 
24 8 965 
24 10 0
26 2 767 
26 4 895 
26 6 946 
26 8 0
26 10 0
28 2 815 
28 4 903 
28 6 935 
28 8 962 
28 10 0 
30 2 827 
30 4 919 
30 6 947 
30 8 961 
30 10 0


